PROSPERO_ID,Screener_1,Screener_2,Reconciliation,Final_Decision,URL,Status,Registration_Date,Anticipated_Start_Date,Anticipated_End_Date,Journal_Submission_Date,Notes
CRD42022295803,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022295803,,,,,,
CRD42022299329,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022299329,,,,,,
CRD42022289224,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022289224,,,,,,
CRD42022275764,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022275764,,,,,,
CRD42022307973,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022307973,,,,,,
CRD42022306558,1,1,,include,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022306558,Published,08/03/2022,01/03/2021,31/03/2022,11/02/2022,In main review as journal article
CRD42022311998,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022311998,,,,,,
CRD42022326604,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022326604,,,,,,
CRD42022318620,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022318620,,,,,,
CRD42022300291,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022300291,,,,,,
CRD42022335883,1,1,,include,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022335883,Ongoing,14/06/2022,01/02/2021,01/12/2022,,
CRD42022338248,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022338248,,,,,,
CRD42022338680,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022338680,,,,,,
CRD42022351451,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022351451,,,,,,
CRD42022309319,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022309319,,,,,,
CRD42022367094,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022367094,,,,,,
CRD42022337689,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022337689,,,,,,
CRD42022377875,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42022377875,,,,,,
CRD42023384521,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023384521,,,,,,
CRD42023392578,1,1,,include,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023392578,Ongoing,21/02/2023,02/01/2023,01/12/2023,,Anticipated end date not yet past as time of analysis
CRD42023367974,0,1,0,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023367974,,,,,,
CRD42023382270,1,1,,include,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023382270,Ongoing,28/03/2023,21/12/2022,21/04/2023,,
CRD42023393439,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023393439,,,,,,
CRD42023418043,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023418043,,,,,,
CRD42023411044,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023411044,,,,,,
CRD42023427164,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023427164,,,,,,
CRD42023434189,1,1,,include,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023434189,Ongoing,04/07/2023,10/06/2023,01/08/2023,,
CRD42023425261,1,1,,include,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023425261,Ongoing,05/07/2023,08/05/2023,12/11/2023,,Anticipated end date not yet past as time of analysis
CRD42023443415,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023443415,,,,,,
CRD42023448719,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023448719,,,,,,
CRD42023448404,1,1,,include,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023448404,Ongoing,01/08/2023,10/07/2023,10/09/2023,,
CRD42023450739,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023450739,,,,,,
CRD42023452516,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023452516,,,,,,
CRD42023452058,0,0,,exclude,https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023452058,,,,,,
